,Synset,Name
11804,Synset('lunar_day.n.01'),lunar_day.n.01
11805,Synset('1530s.n.01'),1530s.n.01
11806,Synset('1750s.n.01'),1750s.n.01
11807,Synset('1760s.n.01'),1760s.n.01
11808,Synset('1770s.n.01'),1770s.n.01
11809,Synset('1780s.n.01'),1780s.n.01
11810,Synset('1790s.n.01'),1790s.n.01
11811,Synset('1820s.n.01'),1820s.n.01
11812,Synset('1830s.n.01'),1830s.n.01
11813,Synset('1840s.n.01'),1840s.n.01
11814,Synset('1850s.n.01'),1850s.n.01
11815,Synset('1860s.n.01'),1860s.n.01
11816,Synset('1870s.n.01'),1870s.n.01
11817,Synset('1900s.n.01'),1900s.n.01
11818,Synset('eighties.n.01'),eighties.n.01
11819,Synset('eighties.n.02'),eighties.n.02
11820,Synset('fifties.n.01'),fifties.n.01
11821,Synset('forties.n.02'),forties.n.02
11822,Synset('nineties.n.01'),nineties.n.01
11823,Synset('nineties.n.02'),nineties.n.02
11824,Synset('seventies.n.01'),seventies.n.01
11825,Synset('sixties.n.01'),sixties.n.01
11826,Synset('thirties.n.02'),thirties.n.02
11827,Synset('twenties.n.02'),twenties.n.02
11828,Synset('clocking.n.01'),clocking.n.01
11829,Synset('longueur.n.01'),longueur.n.01
11830,Synset('residence_time.n.01'),residence_time.n.01
11831,Synset('rule.n.06'),rule.n.06
11832,Synset('span.n.01'),span.n.01
11833,Synset('stretch.n.06'),stretch.n.06
11834,Synset('time_scale.n.01'),time_scale.n.01
11835,Synset('value.n.05'),value.n.05
11836,Synset('one-way_light_time.n.01'),one-way_light_time.n.01
11837,Synset('round-trip_light_time.n.01'),round-trip_light_time.n.01
11838,Synset('day.n.06'),day.n.06
11839,Synset('historic_period.n.01'),historic_period.n.01
11840,Synset('modern_era.n.01'),modern_era.n.01
11841,Synset('religious_festival.n.01'),religious_festival.n.01
11842,Synset('golden_age.n.01'),golden_age.n.01
11843,Synset('afterlife.n.01'),afterlife.n.01
11844,Synset('days.n.01'),days.n.01
11845,Synset('blue_moon.n.01'),blue_moon.n.01
11846,Synset('eon.n.02'),eon.n.02
11847,Synset('month_of_sundays.n.01'),month_of_sundays.n.01
11848,Synset('year_dot.n.01'),year_dot.n.01
11849,Synset('wedding_night.n.01'),wedding_night.n.01
11850,Synset('weeknight.n.01'),weeknight.n.01
11851,Synset('extra_innings.n.01'),extra_innings.n.01
11852,Synset('overtime_period.n.01'),overtime_period.n.01
11853,Synset('sudden_death.n.01'),sudden_death.n.01
11854,Synset('tiebreaker.n.01'),tiebreaker.n.01
11855,Synset('anal_stage.n.01'),anal_stage.n.01
11856,Synset('apogee.n.01'),apogee.n.01
11857,Synset('chapter.n.02'),chapter.n.02
11858,Synset('diakinesis.n.01'),diakinesis.n.01
11859,Synset('diplotene.n.01'),diplotene.n.01
11860,Synset('fertile_period.n.01'),fertile_period.n.01
11861,Synset('generation.n.04'),generation.n.04
11862,Synset('genital_stage.n.01'),genital_stage.n.01
11863,Synset('incubation.n.02'),incubation.n.02
11864,Synset('latency_stage.n.01'),latency_stage.n.01
11865,Synset('leptotene.n.01'),leptotene.n.01
11866,Synset('menstrual_phase.n.01'),menstrual_phase.n.01
11867,Synset('musth.n.01'),musth.n.01
11868,Synset('oral_stage.n.01'),oral_stage.n.01
11869,Synset('pachytene.n.01'),pachytene.n.01
11870,Synset('phallic_stage.n.01'),phallic_stage.n.01
11871,Synset('phase_of_cell_division.n.01'),phase_of_cell_division.n.01
11872,Synset('safe_period.n.01'),safe_period.n.01
11873,Synset('secretory_phase.n.01'),secretory_phase.n.01
11874,Synset('seedtime.n.01'),seedtime.n.01
11875,Synset('zygotene.n.01'),zygotene.n.01
11876,Synset('full_moon.n.01'),full_moon.n.01
11877,Synset('half-moon.n.02'),half-moon.n.02
11878,Synset('new_moon.n.01'),new_moon.n.01
11879,Synset('reign_of_terror.n.01'),reign_of_terror.n.01
11880,Synset('print_run.n.01'),print_run.n.01
11881,Synset('run-time.n.02'),run-time.n.02
11882,Synset('baseball_season.n.01'),baseball_season.n.01
11883,Synset('basketball_season.n.01'),basketball_season.n.01
11884,Synset('exhibition_season.n.01'),exhibition_season.n.01
11885,Synset('fishing_season.n.01'),fishing_season.n.01
11886,Synset('football_season.n.01'),football_season.n.01
11887,Synset('growing_season.n.01'),growing_season.n.01
11888,Synset('high_season.n.01'),high_season.n.01
11889,Synset('hockey_season.n.01'),hockey_season.n.01
11890,Synset('holiday_season.n.01'),holiday_season.n.01
11891,Synset('hunting_season.n.01'),hunting_season.n.01
11892,Synset('off-season.n.01'),off-season.n.01
11893,Synset('preseason.n.01'),preseason.n.01
11894,Synset('seedtime.n.02'),seedtime.n.02
