,Synsets,Domain,nrhypos,nrdirhypers,nrpartrels,depthfromtopsynset,glosslength,minwordlength,nroflemmas,polyscore_max,ngrams_last_mean,nrpartrels_normalised,depthfromtopsynset_normalised,glosslength_normalised,vote
111,Synset('smooth_plane.n.01'),tool,0,1,0,10,29,12,2,1,-17.96954341,0.0,1.0129032258064516,0.4536667995217218,nb
112,Synset('socket_wrench.n.01'),tool,0,1,1,10,74,13,1,1,-17.86886674,7.85,1.0129032258064516,1.157632522917497,nb
113,Synset('soldering_iron.n.01'),tool,0,1,0,9,62,14,1,1,-16.3120573,0.0,0.9116129032258066,0.969908330011957,b
114,Synset('sparkplug_wrench.n.01'),tool,0,1,0,10,103,16,1,1,-23.02585093,0.0,1.0129032258064516,1.6112993224392187,nb
115,Synset('spiral_ratchet_screwdriver.n.01'),tool,0,1,1,10,158,19,2,1,-21.53829058,7.85,1.0129032258064516,2.471701873256277,nb
116,Synset('spokeshave.n.01'),tool,0,1,0,10,142,10,1,1,-17.8235079,0.0,1.0129032258064516,2.221402949382224,nb
117,Synset('spud.n.02'),tool,0,1,0,10,51,4,2,4,-17.00134166,0.0,1.0129032258064516,0.7978278198485452,nb
118,Synset('square.n.08'),tool,4,1,0,9,99,6,1,25,-9.914785383,0.0,0.9116129032258066,1.5487245914707055,b
119,Synset('stillson_wrench.n.01'),tool,0,1,0,12,101,15,1,1,-20.21462403,0.0,1.215483870967742,1.5800119569549622,nb
120,Synset('straightedge.n.01'),tool,0,1,0,9,137,12,1,1,-15.96306948,0.0,0.9116129032258066,2.1431845356715824,b
121,Synset('t-square.n.01'),tool,0,2,0,9,49,8,1,1,-16.61615102,0.0,0.9116129032258066,0.7665404543642885,nb
122,Synset('tack_hammer.n.01'),tool,0,1,0,10,42,11,1,1,-18.55920102,0.0,1.0129032258064516,0.6570346751693902,nb
123,Synset('tap_wrench.n.01'),tool,0,1,0,10,61,10,1,1,-19.39717907,0.0,1.0129032258064516,0.9542646472698286,nb
124,Synset('taper_file.n.01'),tool,0,1,0,10,28,10,1,1,-21.94922508,0.0,1.0129032258064516,0.4380231167795934,nb
125,Synset('tire_iron.n.01'),tool,0,2,0,9,103,9,2,1,-17.2166883,0.0,0.9116129032258066,1.6112993224392187,b
126,Synset('toothpick.n.01'),tool,0,2,0,8,93,9,1,1,-14.60068507,0.0,0.8103225806451614,1.4548624950179354,b
127,Synset('torque_wrench.n.01'),tool,0,1,0,10,75,13,1,1,-17.18562765,0.0,1.0129032258064516,1.173276205659625,nb
128,Synset('trowel.n.01'),tool,5,1,0,9,113,6,1,2,-14.48426612,0.0,0.9116129032258066,1.7677361498605022,b
129,Synset('try_square.n.01'),tool,1,1,0,10,75,10,1,1,-18.39865032,0.0,1.0129032258064516,1.173276205659625,nb
130,Synset('two-handed_saw.n.01'),tool,1,1,0,10,63,7,4,3,-18.83213946,0.0,1.0129032258064516,0.9855520127540852,nb
131,Synset('weeder.n.02'),tool,0,1,0,9,30,6,2,2,-17.99403492,0.0,0.9116129032258066,0.4693104822638501,b
132,Synset('wrench.n.03'),tool,25,1,1,9,55,6,2,7,-14.00806427,7.85,0.9116129032258066,0.8604025508170586,b
133,Synset('acerola.n.02'),fruit,0,1,1,8,88,7,4,3,-20.15184551,1.3401360544217686,1.0012706480304956,1.39558847206569,nb
134,Synset('ackee.n.01'),fruit,0,1,1,7,95,4,2,2,-17.58801157,1.3401360544217686,0.8761118170266836,1.5066011914345516,b
135,Synset('amarelle.n.02'),fruit,0,1,1,9,61,8,1,2,-23.69280483,1.3401360544217686,1.1264294790343077,0.9673965545000806,nb
136,Synset('anchovy_pear.n.02'),fruit,0,1,1,7,53,10,2,2,-22.48822157,1.3401360544217686,0.8761118170266836,0.8405248752213814,b
137,Synset('anjou.n.02'),fruit,0,1,0,8,39,5,1,2,-19.63236184,0.0,1.0012706480304956,0.618499436483658,nb
138,Synset('apple.n.01'),fruit,26,2,1,7,76,5,1,2,-11.4142441,1.3401360544217686,0.8761118170266836,1.2052809531476414,b
139,Synset('apricot.n.02'),fruit,0,1,1,7,59,7,1,3,-14.25174964,1.3401360544217686,0.8761118170266836,0.9356786346804058,b
140,Synset('avocado.n.01'),fruit,0,1,1,7,110,7,4,3,-15.73468522,1.3401360544217686,0.8761118170266836,1.7444855900821123,b
141,Synset('baldwin.n.03'),fruit,0,1,0,9,56,7,1,3,-12.26527387,0.0,1.1264294790343077,0.8881017549508936,nb
142,Synset('bartlett.n.03'),fruit,0,1,0,8,17,8,2,3,-20.12459798,0.0,1.0012706480304956,0.2696023184672355,nb
143,Synset('beach_plum.n.02'),fruit,0,1,1,8,56,10,1,2,-19.01359669,1.3401360544217686,1.0012706480304956,0.8881017549508936,nb
144,Synset('bilberry.n.03'),fruit,0,1,1,8,50,8,3,3,-17.35538212,1.3401360544217686,1.0012706480304956,0.7929479954918693,nb
145,Synset('bing_cherry.n.01'),fruit,0,1,0,9,33,11,1,1,-21.34308924,0.0,1.1264294790343077,0.5233456770246337,nb
146,Synset('bitter_orange.n.02'),fruit,0,1,1,9,49,11,3,2,-17.74868699,1.3401360544217686,1.1264294790343077,0.7770890355820319,nb
147,Synset('black_currant.n.02'),fruit,0,1,1,9,44,13,1,2,-16.77684889,1.3401360544217686,1.1264294790343077,0.697794236032845,nb
