,index,TotalCounts
1016,taken,251.0
1017,leap,14.0
1018,sounds,129.0
1019,longer,106.0
1020,fast,538.0
1021,slow,114.0
1022,comical,1.0
1023,works,162.0
1024,move,1488.0
1025,won't,1102.0
1026,mustn't,209.0
1027,earlier,54.0
1028,cornflakes,89.0
1029,mine,2222.0
1030,Readybrek,1.0
1031,sorry,1649.0
1032,waiting,328.0
1033,lunch,508.0
1034,stinking,23.0
1035,change,411.0
1036,nappie,462.0
1037,real,548.0
1038,poo,423.0
1039,bottom,966.0
1040,wipe,532.0
1041,loved,54.0
1042,matches,31.0
1043,trolley,141.0
1044,mum,966.0
1045,iron,77.0
1046,ironing,81.0
1047,board,278.0
1048,wakened,7.0
1049,here's,2120.0
1050,earth,41.0
1051,routine,20.0
1052,nights,34.0
1053,o'clock,414.0
1054,unreasonable,3.0
1055,habit,10.0
1056,quarter,66.0
1057,conversation,16.0
1058,happens,405.0
1059,double,44.0
1060,beds,132.0
1061,stair,12.0
1062,gate,437.0
1063,marking,9.0
1064,waken,20.0
1065,top,2151.0
1066,fit,2147.0
1067,meant,221.0
1068,wood,209.0
1069,need,3672.0
1070,steep,11.0
1071,you_see,331.0
1072,Kathryn's,43.0
1073,ready,2089.0
1074,beginning,118.0
1075,leg,700.0
1076,cot,241.0
1077,a_lot,48.0
1078,uhhum,193.0
1079,lie,658.0
1080,unless,150.0
1081,story,1250.0
1082,generally,27.0
1083,wandering,9.0
1084,end,753.0
1085,bum,175.0
1086,stinks,3.0
1087,oh_goodness,103.0
1088,sake,149.0
1089,terrible,225.0
1090,throw,1187.0
1091,pretend,1018.0
1092,pottie's,9.0
1093,pottie,370.0
1094,trained,13.0
1095,fault,72.0
1096,lazy,84.0
1097,needs,686.0
1098,brushed,44.0
1099,weather,84.0
1100,nappies,87.0
1101,summer,175.0
1102,run,843.0
1103,toweling,2.0
1104,load,64.0
1105,brush,466.0
1106,cries,42.0
1107,sprouted,2.0
1108,December,72.0
1109,gosh,356.0
1110,suppose,265.0
1111,grown,62.0
1112,inches,29.0
1113,how's,225.0
1114,keeping,96.0
1115,hadn't,264.0
1116,hospital,361.0
1117,took,678.0
1118,angina,2.0
1119,attack,39.0
1120,at_least,57.0
1121,went,2565.0
1122,talcum,15.0
1123,powder,31.0
1124,realize,55.0
1125,hold,1703.0
1126,talc,7.0
1127,stop,1681.0
1128,breaks,50.0
1129,kill,49.0
1130,younger,32.0
1131,walking,394.0
1132,neither,45.0
1133,cope,37.0
1134,handful,6.0
1135,nursery,735.0
1136,September,113.0
1137,ssh,183.0
1138,Monkstown,9.0
1139,send,190.0
1140,local,11.0
1141,Friars_Bush,5.0
1142,drinking,190.0
1143,milk,1560.0
1144,finish,598.0
1145,primary,18.0
1146,Whitehouse,4.0
1147,huh,1698.0
1148,Friar's_Bush,5.0
1149,corner,361.0
1150,playschool,51.0
1151,pass,266.0
1152,rate,16.0
1153,eleven,214.0
1154,seem,132.0
1155,Andrena,10.0
1156,chance,64.0
1157,sees,76.0
1158,jackal,1.0
1159,collect,91.0
1160,Polytech,1.0
1161,voluntary,2.0
1162,redundancy,1.0
1163,near,370.0
1164,anyhow,38.0
1165,Sleepy,3.0
1166,Doc,8.0
1167,rightly,16.0
1168,following,52.0
1169,loads,223.0
1170,Mothers_And_Toddlers,5.0
1171,learns,1.0
1172,hole,641.0
1173,thinking,196.0
1174,hand,1744.0
1175,chick,77.0
1176,seventy,27.0
1177,wheel,524.0
1178,wheeling,5.0
1179,hurt,1265.0
1180,many,1398.0
1181,thunderbirds,1.0
1182,car,6885.0
1183,church,121.0
1184,opens,67.0
1185,imagination,14.0
1186,best,480.0
1187,type,82.0
1188,enjoyed,35.0
1189,Noddy,214.0
1190,Mister_Shaw,2.0
1191,Mister,99.0
1192,falled,49.0
1193,byebye,650.0
1194,station,430.0
1195,dove,1.0
1196,clock,313.0
1197,clapping,45.0
1198,sad,445.0
1199,party,581.0
1200,singing,249.0
1201,balloon,800.0
1202,sillybilly,121.0
1203,dressed,194.0
1204,smelly,95.0
1205,feet,1155.0
1206,smell,178.0
1207,donkey,160.0
1208,bubbles,175.0
1209,bus,895.0
1210,wheels,749.0
1211,garden,716.0
1212,lost,1088.0
1213,step,229.0
1214,tickly,152.0
1215,under,1479.0
1216,eensie,78.0
1217,weensie,68.0
1218,spider,515.0
1219,climbs,17.0
1220,drain,10.0
1221,pig,1097.0
1222,running,701.0
1223,shout,188.0
1224,feast,11.0
1225,wolf,126.0
1226,chase,81.0
1227,rolled,69.0
1228,hey,2313.0
1229,peas,293.0
1230,dinosaur,302.0
1231,soup,384.0
1232,dinosaurs,149.0
1233,thunder,88.0
1234,club,33.0
1235,sent,115.0
1236,invoice,1.0
1237,glad,86.0
1238,reduced,5.0
1239,include,4.0
1240,pay,194.0
1241,post,285.0
1242,packaging,2.0
1243,cheaper,13.0
1244,fifty,113.0
1245,pence,189.0
1246,Cathy's,87.0
1247,fed,213.0
1248,Barney,59.0
1249,man,3861.0
1250,elephant,1468.0
1251,recorder,110.0
1252,jumping,409.0
1253,jump,871.0
1254,smacked,40.0
1255,washed,237.0
1256,The_Ostrich,1.0
1257,rhymes,29.0
1258,monkeys,186.0
1259,instead,413.0
1260,Miss_Polly_Had_A_Dolly,1.0
1261,playgroup,375.0
1262,rather,205.0
1263,Rolly_Poly,2.0
1264,rhyme,25.0
1265,learnt,31.0
1266,learn,112.0
1267,kept,165.0
1268,dapple,1.0
1269,grey,289.0
1270,pony,56.0
1271,learning,32.0
1272,modern,8.0
1273,tune,68.0
1274,Frère_Jacques,1.0
1275,remembered,60.0
1276,cover,331.0
1277,fascinated,15.0
1278,Lynn,15.0
1279,forty,82.0
1280,ball,1406.0
1281,growing,54.0
1282,touch,425.0
1283,panic,20.0
1284,Christmas_Day,14.0
1285,making,1699.0
1286,dinner,1613.0
1287,tizzy,2.0
1288,friend's,43.0
1289,adored,2.0
1290,further,92.0
1291,reference,1.0
1292,hours,84.0
1293,Tiny_Tears,37.0
1294,eaten,353.0
1295,strawberry,437.0
1296,yoghurt,99.0
1297,cherry,41.0
1298,bottle,788.0
1299,natural,14.0
1300,fish,1413.0
