,Term,RawCounts
1621,dismissive,4
1622,middle-class,3
1623,worshipped,1
1624,Brombergs,3
1625,World,24
1626,War,35
1627,Commander-in-Chief,1
1628,statues,2
1629,towns,8
1630,hammer,24
1631,nail,15
1632,war,79
1633,charities,1
1634,imagine,74
1635,anything,523
1636,barbarous,1
1637,patted,25
1638,forget,102
1639,ancestry,3
1640,equal,45
1641,blood,90
1642,counts,11
1643,opened,281
1644,protest,23
1645,breeding,8
1646,truly,21
1647,shocked,39
1648,Nazis,1
1649,Ach,24
1650,scum,4
1651,contempt,4
1652,showed,83
1653,talked,86
1654,glory,7
1655,taught,52
1656,inform,4
1657,Wickedness,2
1658,Almighty,3
1659,lightning,11
1660,heads,93
1661,600,1
1662,years,316
1663,toughness,3
1664,sliced,14
1665,cake,94
1666,inherited,9
1667,Genes,1
1668,genes,1
1669,crude,10
1670,tremulous,1
1671,sip,6
1672,watched,196
1673,genetic,1
1674,inheritance,2
1675,boys,145
1676,suggesting,13
1677,mental,16
1678,note,56
1679,lessons,38
1680,biology,1
1681,Marxism,1
1682,divert,1
1683,views,4
1684,expressing,5
1685,Uncle,213
1686,soon,321
1687,Then,920
1688,lighted,20
1689,vivid,22
1690,brother,181
1691,pool,67
1692,reflecting,6
1693,cruel,24
1694,defying,1
1695,accuser,3
1696,Cruel,1
1697,astonished,14
1698,blinked,46
1699,Pulling,3
1700,wings,47
1701,flies,26
1702,killing,16
1703,nestlings,1
1704,misunderstood,1
1705,gleaming,29
1706,polished,35
1707,mannered,1
1708,poise,3
1709,Wild,8
1710,wild,85
1711,dimension,1
1712,figure,96
1713,ago,155
1714,cruelty,3
1715,Long,19
1716,shall,189
1717,times,191
1718,growing,89
1719,die,109
1720,buried,37
1721,cup,76
1722,case,148
1723,sha,34
1724,selfish,6
1725,woman,326
1726,forgive,27
1727,suiting,2
1728,actions,6
1729,words,270
1730,frail,8
1731,respectable,12
1732,grey,128
1733,miracle,20
1734,write,122
1735,Write,47
1736,memoirs,3
1737,experiences,7
1738,steadily,28
1739,hooded,3
1740,sensed,19
1741,glad,119
1742,undressing,1
1743,arthritis,6
1744,meat,48
1745,separated,13
1746,gulf,2
1747,measureless,1
1748,chasm,1
1749,experience,29
1750,distancing,2
1751,beings,10
1752,planets,6
1753,crooked,20
1754,finger,114
1755,waitress,16
1756,bill,13
1757,paid,45
1758,superiority,6
1759,tapped,21
1760,wry,7
1761,mocking,9
1762,shockingly,2
