,Term,BNC_Baby_Counts
1134,encapsulated,1
1135,apparently,78
1136,bit,412
1137,better,448
1138,Sit,17
1139,quick-moving,2
1140,stocky,9
1141,northerner,1
1142,distinguished,13
1143,record,43
1144,possible,210
1145,branch,14
1146,rumoured,6
1147,Assistant,9
1148,Commissioner,9
1149,soon,293
1150,present,109
1151,retired,25
1152,connections,6
1153,seeing,139
1154,That,1020
1155,sounding,28
1156,personally,35
1157,dealing,13
1158,addict,5
1159,something,957
1160,'d,1299
1161,detoxed,1
1162,booked,16
1163,Hall,112
1164,gets,75
1165,Will,60
1166,manage,58
1167,USA,3
1168,startled,27
1169,contacts,20
1170,Everywhere,9
1171,sourly,12
1172,thinking,216
1173,profit,23
1174,called,425
1175,We,1219
1176,necessarily,22
1177,Special,11
1178,Branch,5
1179,board,82
1180,Missing,3
1181,Person,2
1182,superior,31
1183,Most,78
1184,reports,23
1185,Typically,2
1186,husbands,6
1187,wives,27
1188,teenagers,8
1189,leaving,142
1190,intelligent,17
1191,enlightenment,2
1192,marry,61
1193,junior,15
1194,Treasury,11
1195,apologetically,22
1196,Thirty-six,1
1197,sir,147
1198,wake,33
1199,rank,13
1200,Go,78
1201,Mr,471
1202,Financial,6
1203,Secretary,10
1204,four-thirty,3
1205,House,97
1206,Commons,7
1207,Questions,6
1208,whatever,111
1209,send,77
1210,driver,75
1211,Sir,62
1212,thanks,50
1213,afternoon,132
1214,MPs,6
1215,raise,26
1216,questions,131
1217,Ministers,13
1218,Departments,2
1219,These,101
1220,answered,106
1221,first,889
1222,original,39
1223,questioner,4
1224,allowed,142
1225,supplementary,5
1226,Once,110
1227,Question,3
1228,11,9
1229,deeply,66
1230,unhelpful,2
1231,written,89
1232,response,40
1233,servants,43
1234,business,303
1235,wiser,4
1236,Endearingly,1
1237,drafting,1
1238,sort,351
1239,answer,236
1240,usually,132
1241,enlist,5
1242,colleague,30
1243,correct,35
1244,polished,32
1245,hand-off,1
1246,Cabinet,2
1247,Take,62
1248,sergeant,64
1249,assuming,10
1250,thing,574
1251,building,141
1252,replacement,4
1253,Jameson,1
1254,Ms,6
1255,seen,525
1256,clean-shaven,4
1257,tight-mouthed,1
1258,grin,29
1259,mind,570
1260,working,214
1261,myself,212
1262,check,76
1263,mob-handed,1
1264,feeling,303
1265,proper,61
1266,team,51
1267,ll,3
1268,Best,10
1269,rose,151
1270,recalled,24
1271,reached,281
1272,Anything,31
1273,Wilson,16
1274,fix,20
1275,thank,67
1276,Thank,84
1277,corridor,66
1278,tiredness,5
1279,suddenly,305
1280,overcoming,3
1281,prospect,28
1282,knocked,49
1283,preoccupation,8
1284,elbow,28
1285,steady,43
1286,wanted,670
1287,VIP,3
1288,Walk,3
1289,sure,502
1290,talking,252
1291,speed,59
1292,repeating,16
1293,doing,358
1294,writing,68
1295,workman-like,1
1296,leather-bound,2
1297,notebook,13
1298,Don,30
1299,t,22
1300,Everyone,49
1301,calls,40
1302,mendaciously,1
1303,smile,205
1304,widened,7
1305,pleased,107
1306,unsurprised,5
1307,rested,33
1308,conscious,46
1309,smooth,41
1310,flowery,3
1311,perfume,20
1312,Gathering,1
1313,dismissed,20
1314,car,482
1315,Four,22
1316,miles,71
1317,away,1052
1318,own,909
1319,Victorian,34
1320,dryer,2
1321,battered,28
1322,suitcase,13
1323,Six,17
1324,pairs,17
1325,knickers,11
1326,dark-blond,1
1327,unmistakably,3
1328,piling,9
1329,plates,28
1330,dishwasher,4
1331,cups,33
1332,Heap,1
1333,laundries,1
1334,God,336
1335,Furious,3
1336,awful,66
1337,handed,81
1338,instead,106
1339,sick,65
1340,anxiety,53
1341,checked,73
1342,contents,32
1343,handbag,19
1344,Were,36
1345,catching,30
1346,murderers,21
1347,each,422
1348,never,1005
1349,stops,8
1350,loves,25
1351,bloke,33
1352,ladder,27
1353,rocket,4
1354,vivid,16
1355,wooden,88
1356,counted,23
1357,currency,4
1358,spoke,192
1359,dismissive,11
1360,confidence,42
1361,closing,29
1362,regarded,24
1363,exasperation,15
1364,thirty,74
1365,settled,75
1366,reading,88
1367,Jane,15
1368,magazines,19
1369,silenced,5
1370,meant,208
1371,unlike,38
1372,academically,2
1373,gifted,3
1374,sister,169
1375,domestic,17
1376,science,10
1377,school,204
1378,upright,33
1379,tight-lipped,2
1380,pity,38
1381,third,90
1382,suppose,273
1383,consequences,10
1384,reflectively,5
1385,loaded,16
1386,possessions,23
1387,wheel,57
1388,pushing,65
1389,cassette-tape,1
1390,recorder,8
1391,Tris,2
1392,demo-tape,1
1393,listened,82
1394,cut,199
1395,concentration,20
1396,pure,33
1397,tenor,4
1398,singing,41
1399,Plaisirs,1
1400,d'Amour,1
1401,filled,92
1402,Listen,28
1403,top,297
1404,A.,1
1405,range,33
1406,softly,63
1407,Does,68
1408,project,20
1409,started,271
1410,quietly,140
1411,sing,29
1412,tape,21
1413,stretching,19
1414,notes,64
1415,noise,98
1416,nice,150
1417,baritone,2
1418,give,388
1419,eyeteeth,1
1420,soprano,2
1421,able,253
1422,Or,300
1423,higher,32
1424,reliable,15
1425,C,9
1426,fell,200
1427,silent,111
1428,listening,81
1429,spits,1
1430,final,62
1431,consonants,1
1432,durance,1
1433,vile,5
1434,helped,88
1435,handicapped,2
1436,sake,95
1437,talent,25
1438,hope,182
1439,life,659
1440,escorted,13
1441,Private,10
1442,roughly,19
1443,description,29
1444,interested,156
1445,controlled,28
1446,bustle,7
1447,room,748
1448,greeted,36
1449,observing,13
1450,surely,58
1451,double-take,1
1452,object,35
1453,arrived,148
1454,finishing,9
1455,sees,46
1456,briskly,35
1457,glancing,39
1458,miniature,10
1459,switchboard,4
1460,incongruously,11
1461,draughty,3
1462,high-ceilinged,2
1463,dingy,3
1464,disappeared,72
1465,master,61
1466,dazzled,7
1467,seized,19
1468,opportunity,45
1469,press,47
1470,accepted,72
1471,exists,11
1472,stand,138
1473,front,385
1474,safe,74
1475,shouting,52
1476,threatening,13
1477,gestures,9
1478,comes,120
1479,near,180
1480,delay,16
1481,bigger-spending,1
1482,pop,34
1483,new,453
1484,row,80
1485,skittles,3
1486,Marsden,3
1487,signalled,13
1488,keen,40
1489,kingpin,1
1490,shook,283
1491,distinctive,7
1492,almost,437
1493,wrong,218
1494,flatten,2
1495,easily,110
1496,bearing,21
1497,grudge,8
1498,ti,10
1499,injured,10
1500,kill,153
1501,stepped,115
1502,introduced,38
1503,watching,153
1504,bony,7
1505,surprise,120
1506,immediate,25
1507,impression,61
1508,directed,24
1509,dominance,2
1510,physique,3
1511,impressive,21
1512,offered,132
1513,chair,203
1514,placed,82
1515,beautifully,19
1516,without,437
1517,spare,35
1518,ounce,6
1519,flesh,80
1520,anywhere,58
1521,strong,129
1522,Nor,47
1523,deep-set,3
1524,hypnotic,1
1525,journalists,9
1526,occasionally,46
1527,economical,5
1528,emanated,1
1529,absorbed,14
1530,information,119
1531,established,22
1532,precisely,39
1533,members,73
1534,forceful,2
1535,character,56
1536,wringer,1
1537,experience,100
1538,dominant,4
1539,characters,4
1540,until,393
1541,natural,70
1542,break,83
1543,occurred,43
1544,background,70
1545,starting,43
1546,known,257
1547,marshal,7
1548,thoughts,117
1549,chairman,4
1550,contractors,2
1551,lobby,15
1552,increasing,22
1553,road-building,1
1554,programme,19
1555,spokesman,1
1556,Transport,6
1557,gamekeeper,2
1558,poacher,4
1559,given,226
1560,fast-stream,1
1561,entrant,1
1562,function,7
1563,resist,16
1564,demand,20
1565,enjoying,49
1566,turn,189
1567,phrase,37
1568,organized,16
1569,introduction,7
1570,mutual,14
1571,acquaintance,19
1572,prepared,93
1573,beholden,3
1574,lobbying,3
1575,considering,26
1576,formidable,14
1577,Women,21
1578,minds,25
1579,find,518
1580,invited,55
1581,party,128
1582,indicated,22
1583,whoever,21
1584,around,761
1585,wasted,20
1586,intend,13
1587,April,17
1588,immediately,109
1589,rises,16
1590,Horse,5
1591,Guards,2
1592,distressed,12
1593,daughters,9
1594,difference,62
1595,age,156
1596,Jennifer,26
1597,times,172
1598,occupied,37
1599,Francis,28
1600,feels,36
1601,old,844
1602,forty-three,6
1603,brought,276
1604,Sarah,137
1605,likes,58
1606,idea,257
1607,marrying,16
1608,government,45
1609,cold,228
1610,rational,17
1611,assessment,7
1612,When,539
1613,Early,11
1614,Saturday,68
1615,eight-thirty,4
1616,late,227
1617,Monday,30
1618,weekend,46
1619,extra,56
1620,worry,123
1621,Tuesday,17
1622,telephoned,31
1623,parents,94
1624,yesterday,67
1625,Wednesday,19
1626,Today,20
1627,things,604
1628,word,242
1629,Home,23
1630,fool,37
1631,oneself,11
1632,unlikely,33
1633,consideration,14
1634,exercised,4
1635,cool,71
1636,customer,9
1637,imagine,109
1638,vanish,8
1639,formulate,2
1640,reply,68
1641,once,453
1642,mostly,30
1643,voluntarily,4
1644,indicate,15
1645,blotter,4
1646,lips,164
1647,tight,66
1648,tension,12
1649,also,421
1650,forthright,2
1651,Please,69
1652,police,330
1653,humour,30
1654,Where,209
1655,hospitals,8
1656,unidentified,3
1657,persons,7
1658,dead,336
1659,tempering,1
1660,wind,139
1661,well-clad,1
1662,lamb,11
1663,circulate,2
1664,recent,28
1665,helpful,23
1666,our,606
1667,engagement,10
1668,promised,68
1669,keep,341
1670,touch,134
1671,investigations,4
1672,danger,60
1673,letting,45
1674,slip,30
1675,drily,24
1676,politician,19
1677,automatic,28
1678,competence,4
1679,escorting,2
1680,warmly,10
1681,asking,99
1682,trained,40
1683,shaking,72
1684,button,35
1685,raised,167
1686,telling,130
1687,James,88
1688,Park,22
1689,frightened,76
1690,doubtful,13
1691,nasty,32
1692,ran,245
1693,sound,232
1694,diffident,4
1695,blunt,4
1696,agree,65
1697,brainstorm,1
1698,often,160
1699,happens,51
1700,outside,284
1701,books,116
1702,procedures,4
1703,five,196
1704,result,51
1705,By,178
1706,p.m,9
1707,reasonably,15
1708,satisfied,32
1709,lying,132
1710,morgue,7
1711,suffering,16
1712,loss,37
1713,Tomorrow,20
1714,associates,2
1715,Remembering,1
1716,employers,11
1717,reporting,5
1718,half-way,5
1719,irritation,21
1720,solved,5
1721,itself,167
1722,readily,14
1723,open,409
1724,leaning,38
1725,presentation,30
1726,passing,66
1727,unnecessarily,7
1728,wee,6
1729,paperwork,8
1730,finish,48
1731,installed,6
1732,useful,51
1733,stuff,115
1734,diary,17
1735,appointments,9
1736,listed,5
1737,peered,39
1738,list,58
1739,advise,10
1740,parliamentary,2
1741,affairs,38
1742,explain,80
1743,says,191
1744,companies,14
1745,influence,33
1746,decisions,22
1747,legislation,5
1748,discourage,4
1749,OK,76
1750,Last,20
1751,appointment,27
1752,Ministry,9
