,Term,BNC_Sampler_Counts
905,balance,179
906,closest,18
907,ruling,43
908,best,526
909,gains,28
910,former,190
911,followers,34
912,Ramakrishna,1
913,Hegde,1
914,charismatic,5
915,chief,87
916,minister,67
917,heads,84
918,challenge,60
919,Janata,7
920,Dal,7
921,anti-Hegde,1
922,dissidents,13
923,formed,81
924,last,1540
925,unite,9
926,national,339
927,remains,103
928,substantial,86
929,rump,2
930,gave,358
931,brief,86
932,disastrous,14
933,respite,6
934,rule,131
935,1977,59
936,1979,64
937,bitterly,16
938,odds,24
939,gives,165
940,excellent,126
941,chance,175
942,sweep,23
943,1984,109
944,scored,42
945,24,67
946,wins,26
947,out of,966
948,28,50
949,autocratic,7
950,film,102
951,star,74
952,N.T.,1
953,Rama,1
954,Rao,1
955,steady,37
956,haemorrhage,2
957,defectors,1
958,Telugu,1
959,Desam,1
960,Last,79
961,got,5808
962,six,979
963,42,17
964,once,368
965,claimed,72
966,almost,350
967,exclusive,20
968,get,4169
969,15,120
970,even,967
971,20,144
972,balanced,39
973,reversed,18
974,remaining,82
975,MPs,64
976,17,64
977,ruled,29
978,non-Congress,2
979,men,599
980,All,524
981,notoriously,5
982,calls,106
983,State,114
984,Assembly,39
985,left,769
986,0.79,1
987,Congress-led,1
988,banking,20
989,12,130
990,think,4223
991,lucky,88
992,10,196
993,done,1221
994,audacious,1
995,faction,8
996,regional,119
997,group,653
998,Ms,24
999,Jayalalitha,1
1000,important,566
1001,mistress,10
1002,late,369
1003,Chief,52
1004,M.G.,1
1005,Ramachandran,1
1006,Overall,11
1007,presents,68
1008,bleak,12
1009,picture,184
1010,stage,280
1011,campaign,169
1012,universally,7
1013,accepted,128
1014,no,3832
1015,question,425
1016,return,245
1017,golden,38
1018,days,614
1019,1980,73
1020,scoop,8
1021,four-fifths,5
1022,Regional,22
1023,pride,32
1024,caste-based,1
1025,movements,54
1026,suspicion,38
1027,Hindi-speaking,1
1028,eroded,8
1029,enjoy,125
1030,sees,46
1031,start,684
1032,revolution,65
1033,David,289
1034,Hirst,3
1035,newly,41
1036,elected,179
1037,continued,144
1038,try,570
1039,unity,67
1040,declared,70
1041,begun,48
1042,deputy,49
1043,dissolved,15
1044,League,122
1045,belonged,14
1046,order,345
1047,swept,27
1048,away,850
1049,began,252
1050,consultations,14
1051,own,1059
1052,fief,1
1053,northern,82
1054,move,485
1055,soon,291
1056,predominantly,10
1057,Muslim,16
1058,While,120
1059,implacable,2
1060,obstacle,9
1061,path,63
1062,plenty,99
1063,Druze,1
1064,Walid,1
1065,Jumblatt,1
1066,others,372
1067,far from,12
1068,happy,259
1069,Taif,1
1070,accord,21
1071,accused,42
1072,envoy,4
1073,Lakhear,1
1074,Ibrahimi,1
1075,interfering,5
1076,internal,68
1077,affairs,68
1078,as if,168
1079,wants,263
1080,prime,51
1081,himself,344
1082,At,421
1083,press,207
1084,conference,127
1085,ebullient,1
1086,seemingly,18
1087,confident,42
1088,reiterated,7
1089,headed,31
1090,legal,102
1091,sovereign,39
1092,independent,97
1093,always,915
1094,constitutional,30
1095,position,326
1096,big,760
1097,demonstrations,42
1098,few,294
1099,proved,81
1100,popular,144
1101,mandate,19
1102,too,1297
1103,marked,110
1104,beginning,203
1105,Evading,1
1106,questions,236
1107,how,1926
1108,proposed,134
1109,resist,21
1110,virtually,54
1111,international,167
1112,community,180
1113,gone,550
1114,through,1406
1115,civil,54
1116,war,270
1117,given,650
1118,martyrs,1
1119,dishonourable,1
1120,settlement,63
1121,offering,61
1122,And,4961
1123,warned,42
1124,honourable,4
1125,explode,5
1126,region,193
1127,Asked,13
1128,apparent,75
1129,defections,1
1130,cause,161
1131,counting,45
1132,anybody,236
1133,Outsiders,1
1134,crooks,1
1135,liars,2
1136,covered,141
1137,positions,63
1138,empty,116
1139,slogans,7
1140,case,552
1141,Arabs,16
1142,unfair,26
1143,turned,295
1144,As for,14
1145,rest,308
1146,no one,73
1147,expect,203
1148,sign,145
1149,our,2371
1150,death,303
1151,sentence,41
1152,suicide,18
1153,Let,129
1154,those,1789
1155,advice,108
1156,adds,44
1157,George,189
1158,Bush,101
1159,angrily,13
1160,denounced,11
1161,partition,13
1162,totally,118
1163,unacceptable,11
1164,Nationalists,2
1165,wreck,7
1166,celebrations,10
1167,Moscow,82
1168,MOLDAVIAN,1
1169,nationalists,7
1170,fought,49
1171,police,400
1172,growing,172
1173,republics,20
1174,wrecked,7
1175,1917,20
1176,Bolshevik,2
1177,Yuri,3
1178,Roshka,3
1179,spokesman,60
1180,Moldavian,7
1181,Popular,19
1182,Front,58
1183,several,274
1184,thousand,368
1185,clashed,6
1186,after,1619
1187,clambering,1
1188,tanks,30
1189,vehicles,21
1190,preparing,38
1191,Lenin,12
1192,Square,39
1193,Kishinyev,2
1194,Several,37
1195,hurt,81
1196,melee,1
1197,parade,10
1198,cancelled,25
1199,republic,21
1200,leadership,59
1201,fled,16
1202,raised,143
1203,viewing,15
1204,podium,5
1205,Separatists,1
1206,tried,232
1207,unsuccessfully,5
1208,disrupt,4
1209,Lithuania,18
1210,Traditional,7
1211,Georgia,5
1212,Armenia,1
1213,Roskha,1
1214,trouble,179
1215,groups,233
1216,broke,77
1217,cordons,1
1218,climbed,28
1219,on to,123
1220,armoured,12
1221,personnel,45
1222,carriers,2
1223,waving,22
1224,banners,9
1225,chanting,11
1226,When,694
1227,ran,135
1228,off,1860
1229,thing,1305
1230,did,4201
1231,take,1729
1232,place,768
1233,"30,000-strong",1
1234,crowd,64
1235,injured,26
1236,detained,11
1237,strikes,21
1238,point,828
1239,crisis,83
1240,morale,11
1241,threatens,12
1242,future,377
1243,perestroika,17
1244,Broadcasts,1
1245,viewers,19
1246,Agatha,2
1247,Christie,3
1248,films,31
1249,November,159
1250,7,106
1251,coal,98
1252,miners,24
1253,strike,70
1254,Rettie,13
1255,SOME,7
1256,believed,87
1257,in particular,86
1258,celebrate,26
1259,observed,70
1260,Boris,9
1261,Prokhorov,5
1262,official,126
1263,news,243
1264,agency,45
1265,Tass,16
1266,Commenting,3
1267,72nd,1
1268,anniversary,36
1269,Russian,157
1270,Revolution,16
1271,openly,16
1272,frank,8
1273,vein,8
1274,hallmark,1
1275,glasnost,7
1276,went,1496
1277,Well,3533
1278,looking,686
1279,industrial,112
1280,down-swing,1
1281,inflation,69
1282,transport,134
1283,malfunctions,1
1284,semi-barren,1
1285,shelves,48
1286,shops,141
1287,Yes,2896
1288,exists,41
1289,realities,8
1290,truly,50
1291,easy,258
1292,another,1100
1293,things,1277
1294,genuinely,14
1295,free,407
1296,pointed,103
1297,People,116
1298,Deputies,11
1299,became,314
1300,sensation,7
1301,real,293
1302,Supreme,13
1303,function,88
1304,added,205
1305,broadcasts,4
1306,parliamentary,46
1307,sessions,30
1308,attracted,37
1309,novels,6
1310,Besides,21
1311,withdrawn,19
1312,Afghanistan,11
1313,range,264
1314,nuclear,54
1315,missiles,29
1316,destroyed,49
1317,answer,263
1318,contradiction,9
1319,renewal,12
1320,lay,136
1321,Marxism,4
1322,teaches,5
1323,superstructure,5
1324,react,16
1325,conditions,213
1326,He,2859
1327,saw,437
1328,economy,133
1329,slowly,104
1330,truth,171
1331,analysis,115
1332,above,408
1333,fails,26
1334,account,287
1335,deeper,23
1336,malaise,1
1337,society,129
1338,Great,117
1339,Socialist,41
1340,celebrated,22
1341,because,2102
1342,adopted,84
1343,calendar,21
1344,greatest,73
1345,holiday,192
1346,something,1529
1347,different,879
1348,as far as,104
1349,remembered,68
1350,core,33
1351,working,569
1352,class,187
1353,made,1483
1354,Up,63
1355,desolate,4
1356,Arctic,9
1357,Vorkuta,1
1358,site,184
1359,Stalin,13
1360,infamous,4
1361,Gulag,1
1362,nine,599
1363,area,630
1364,pits,24
1365,dismal,6
1366,living,302
1367,bureaucracy,8
1368,Communist,125
1369,Among,41
1370,complaints,36
1371,promises,19
1372,improve,89
1373,July,133
1374,pit,21
1375,concerning,30
1376,article,43
1377,constitution,63
1378,entrenches,1
1379,monopoly,61
1380,demonstrators,15
1381,set,835
1382,march,20
1383,Red,69
1384,officially,31
1385,salutes,1
1386,Most,154
1387,these,2096
1388,appeared,109
1389,intellectual,15
1390,might,1146
1391,loss,259
1392,faith,88
1393,nationwide,8
1394,intellectuals,8
1395,same,1245
1396,demand,146
1397,deprive,2
1398,absolute,50
1399,What,2647
1400,united,51
1401,organisation,79
1402,goes,687
1403,young,454
1404,remember,636
1405,why,957
1406,started,423
1407,hold,253
1408,original,195
1409,ideals,6
1410,dear,300
1411,whatever,335
1412,happened,258
1413,in between,37
1414,middle-aged,5
1415,preserve,22
1416,accustomed,13
1417,careers,28
1418,rather,323
1419,scales,15
1420,falling,84
1421,eyes,326
1422,having,748
1423,any,2448
1424,discovering,8
1425,told,765
1426,lies,69
1427,lives,171
1428,meeting,463
1429,Kremlin,16
1430,Saturday,251
1431,Vladimir,6
1432,Kryuchkov,1
1433,head,510
1434,KGB,4
1435,newest,3
1436,politburo,20
1437,implicitly,3
1438,admitted,51
1439,secret,99
1440,repression,13
1441,quite,1219
1442,wrong,447
1443,history,188
1444,long,947
1445,mistake,69
1446,His,328
1447,explanation,44
1448,distorted,16
1449,everything,463
1450,Leninist,1
1451,socialism,15
1452,reinstated,4
1453,message,96
1454,Day,73
1455,back,2475
1456,radical,42
1457,slogan,13
1458,Can,411
1459,?,20181
1460,word,449
1461,fact,662
1462,fresh,98
1463,look,1607
1464,blinkers,3
1465,ourselves,108
1466,Voters,9
1467,queue,12
1468,miles,130
1469,Namibia,37
1470,Patrick,24
1471,Laurence,6
1472,Windhoek,5
1473,THOUSANDS,2
1474,Namibians,2
1475,stood,162
1476,queues,7
1477,stretching,15
1478,nearly,227
1479,mile,44
1480,cases,177
1481,waited,77
1482,vote,252
1483,day,1305
1484,five-day,2
1485,pre-independence,2
1486,length,239
1487,Katutura,2
1488,densely,10
1489,populated,8
1490,urban,53
1491,triggered,8
1492,conjecture,3
1493,extended,62
1494,"700,000",2
1495,residents,53
1496,voting,68
