,Term,BNC_Sampler_Counts
48178,Mhm.,3
48179,deductions,1
48180,reconnection,2
48181,reconnected,1
48182,rec,1
48183,deta,1
48184,In that,3
48185,particula,2
48186,align,2
48187,catholic,2
48188,acti,1
48189,Organization,2
48190,Organizations,1
48191,victimized,3
48192,ninet,2
48193,Hucknall,12
48194,twe,4
48195,Gaitskell,1
48196,butchery,1
48197,kitchens,9
48198,mincemeat,1
48199,scabs,2
48200,all in all,1
48201,violate,1
48202,blacklegs,1
48203,whatnot,2
48204,misfortunes,2
48205,Lived,1
48206,bec,1
48207,foothold,1
48208,in so far that,5
48209,pea-picking,2
48210,Spalding,1
48211,workhouse,7
48212,Baseford,2
48213,destitute,2
48214,affiliation,3
48215,blacklists,1
48216,Marketplace,1
48217,eyewitness,1
48218,co-op,2
48219,Worker,1
48220,farfetched,2
48221,left-wing,1
48222,inv,1
48223,antagonism,1
48224,right-wing,1
48225,parliamentary-wise,1
48226,whitewashing,1
48227,well-disciplined,1
48228,well-organized,4
48229,marketplace,9
48230,summertime,1
48231,wintertime,1
48232,singsong,1
48233,instrumentalists,2
48234,Marxian,2
48235,funnily,4
48236,Lamley,1
48237,Dumbles,1
48238,ramble,2
48239,grub,1
48240,Bridgford,2
48241,Saar,2
48242,Whereabouts,7
48243,a f,1
48244,Bef,1
48245,trickery,2
48246,a quite a few,1
48247,ga,6
48248,provid,1
48249,Pyrenees,3
48250,becau,1
48251,Franco,5
48252,guarding,1
48253,half-hearted,1
48254,as far as er as far as,1
48255,Figueres,1
48256,grander,1
48257,Albusate,4
48258,Tarrazona,1
48259,anti-fascists,2
48260,Indonesian,2
48261,Mexicans,1
48262,Ce,1
48263,Indes,1
48264,food-wise,1
48265,scarcity,2
48266,blockaded,2
48267,Mussolini,1
48268,Hitlerite,1
48269,Potato,4
48270,burro,1
48271,lentils,1
48272,trench-coat,1
48273,poncho,1
48274,Cigarettes,2
48275,Woodbines,1
48276,commissars,2
48277,commissar,1
48278,chaps,7
48279,fascists,1
48280,strafing,3
48281,overly,2
48282,quartermaster,1
48283,whil,2
48284,Waldo,1
48285,as a ma,1
48286,as a matter of fact,5
48287,butts,1
48288,Irishman,1
48289,Haw-Haw,1
48290,lay-by,1
48291,Cowal,2
48292,dipped-beam,1
48293,glowed,3
48294,straight-armed,1
48295,black-skirted,1
48296,Doc-shoed,1
48297,crop-blonde,1
48298,purse-lipped,1
48299,Verity,39
48300,Lochgair,15
48301,Skiing,3
48302,Sheesh,1
48303,pack-ice,1
48304,Perioding,1
48305,Urvills,3
48306,insane,2
48307,Rod-free,1
48308,nicer,13
48309,dartboard,1
48310,Yeeeeee-HA,1
48311,Gav,47
48312,moaned,4
48313,duvet,7
48314,snore,4
48315,ninja'd,1
48316,wheeched,1
48317,cocooned,1
48318,skid-mark,1
48319,hummed,3
48320,Du,28
48321,fuckin,1
48322,makin,1
48323,energy-transfer,1
48324,gaseous,2
48325,radiation,4
48326,skull,5
48327,epitomised,2
48328,thick-skulledness,1
48329,bleary,1
48330,fuck,62
48331,duty-neuron,1
48332,assimilate,2
48333,thinly-stretch,1
48334,contented,1
48335,grunt,2
48336,boogied,1
48337,orange-white,1
48338,calibrated,1
48339,Jeez,3
48340,Beemer,2
48341,speedometer,1
48342,Rory,214
48343,bulge,6
48344,Dumbarton,3
48345,Alexandria,5
48346,wriggling,3
48347,black-nyloned,1
48348,limb,2
48349,amply-soled,1
48350,Doc,6
48351,Yup,4
48352,sussies,1
48353,back-rest,1
48354,wiggled,1
48355,plonked,1
48356,braked,2
48357,dawdling,1
48358,Parceline,2
48359,parceline,1
48360,pronouncing,1
48361,Vaseline,1
48362,inquired,2
48363,Mm-hum,1
48364,fainting,1
48365,mid-thigh,1
48366,left-hander,1
48367,Kinglas,1
48368,nudging,1
48369,whanged,1
48370,Thankfully,1
48371,penetrative,1
48372,macht-wagen,1
48373,Whoa-yeah,1
48374,jiggled,2
48375,detumescing,1
48376,pube,2
48377,foreskin,1
48378,scrolls,1
48379,Cairndow,1
48380,leafed,3
48381,scribbled,3
48382,multi-coloured,2
48383,annoyingly,1
48384,Loch,5
48385,Fyne,2
48386,Preach,1
48387,Gallanach,16
48388,Hogmanay,3
48389,on-coming,2
48390,glared,3
48391,headlights,12
48392,streamed,1
48393,Ilsa,8
48394,Gibbon,7
48395,three-storeyed,1
48396,town-house,1
48397,Mondo-Food,1
48398,Haggisburgers,2
48399,heartily,1
48400,Ash,57
48401,motley-panelled,1
48402,2CV,3
48403,GTi,1
48404,209,1
48405,forbiddingly,1
48406,McHoan,6
48407,purportedly,1
48408,peripatetic,1
48409,bulwark,1
48410,ramifications,1
48411,peregrinations,1
48412,grey-haired,3
48413,pixie,1
48414,big-boned,1
48415,un-startling,1
48416,stratagem,3
48417,fullest,2
48418,Juliana,1
48419,Dot,6
48420,Dorothea,1
48421,Marys,3
48422,Mariana,1
48423,Sues,1
48424,Susanna,1
48425,prophylactically,1
48426,embellishment,2
48427,monicker,1
48428,Ashkenazia,1
48429,sneered,2
48430,poring,1
48431,inelegant,2
48432,Patagonia,1
48433,Argentinian,1
48434,hitcher,1
48435,Nuneaton,1
48436,M6,1
48437,talkin,1
48438,tutted,1
48439,Hamish,46
48440,Shit,11
48441,miserably,4
48442,interconnectedness,1
48443,seethes,1
48444,fag,9
48445,drone,2
48446,Citroen,1
48447,cataleptically,1
48448,furrowed,1
48449,Heisenberg,3
48450,weellll,1
48451,funnier,1
48452,Elton,1
48453,retiral,1
48454,Modigliani,1
48455,mean-spirited,1
48456,Ach,3
48457,chiding,1
48458,swish,2
48459,licking,9
48460,Tail-Light,1
48461,Mm-hmm,1
48462,over-taking,1
48463,Horizontally,1
48464,Cortina,3
48465,slanted,2
48466,Missed,2
48467,Bump-free,1
48468,lane-changing,1
48469,mock-serious,1
48470,amazement,1
48471,Cobbled,1
48472,girly,1
48473,clitoris,2
48474,butt,6
48475,ashtray,6
48476,flipped,1
48477,Och,21
48478,fucking,153
48479,clicked,4
48480,indicator,8
48481,Olde,1
48482,smirked,2
48483,mid-day,2
48484,Rae,9
48485,Liaisons,1
48486,swirling,1
48487,flat-mates,1
48488,single-entendres,1
48489,not-really-an-aunt,1
48490,taunting,1
48491,berating,1
48492,rakish,1
48493,quivery,1
48494,loose-leaf,1
48495,green-lined,1
48496,Napkins,1
48497,packets,4
48498,no-less,1
48499,different-coloured,1
48500,micro-liner,1
48501,abbreviations,3
48502,compressions,1
48503,crshd,1
48504,twn,1
48505,carige,1
48506,Erlier,1
48507,proph.,1
48508,kld,1
48509,t.,2
48510,livng,1
48511,ded,1
48512,Chrst-lk,1
48513,figr,1
48514,chng,1
48515,nm,1
48516,fml,1
48517,Chrst,1
48518,mrtyr,1
48519,Birnam,1
48520,wd,1
48521,disgsd,1
48522,out-takes,1
48523,heaves,1
48524,Hallmark,1
48525,sipping,5
48526,italics,2
48527,script-writer,2
48528,lyricist,1
48529,naïve,1
48530,Treachery,1
48531,Betrayal,1
48532,Imperialism,2
48533,Colonialism,2
48534,Capitalism,5
48535,Erewhon,1
48536,Subjectivity,1
48537,rhyming,2
48538,Barthes,1
48539,looseleaf,1
48540,novel/poem,1
48541,doodles,2
48542,mazes,1
48543,uninspired,1
48544,tone-scale,1
48545,Tenuous,1
48546,reactive,2
48547,foulness,1
48548,buggers,4
48549,Khmer,1
48550,Rouge,1
48551,torturers,2
48552,Pol,1
48553,Pot,1
48554,iota,1
48555,communistic,1
48556,so-called-interrogators,1
48557,guttural,2
48558,Slavic,1
48559,Rushdie,2
48560,Ruhollah,1
48561,Khomeini,2
48562,clasp,2
48563,suburbette,1
48564,Ballymeanoch,1
48565,unpleasantness,1
48566,Iran-Iraq,1
48567,anti-create,1
48568,Qom,1
48569,umm,1
48570,smart-alec,1
48571,twinkly,1
48572,creaky,1
48573,repast,1
48574,Antonia,11
48575,Creole,2
48576,Lobster,1
48577,Kid,2
48578,humming,3
48579,Torturers,1
48580,jaws,2
48581,vengeful,1
48582,cost-benefit-calculating,1
48583,quizzed,1
48584,knotty,1
48585,re-lived,1
48586,subtracted,2
48587,vindictive,1
48588,inspecting,5
48589,Hieronymus,1
48590,Iona,1
48591,Capitalist,1
48592,condemnationist,1
48593,men-folk,1
48594,passions,1
48595,spicy,3
48596,Jac,3
48597,oak-panelled,1
48598,Clad,1
48599,sparkly,1
48600,wreathed,1
48601,streamers,1
48602,poppers,2
48603,bunned,1
48604,fiddles,2
48605,tabors,1
48606,accordions,2
48607,guitars,3
48608,levered,2
48609,extricate,1
48610,half-bottle,1
48611,fire-seat,1
48612,Eightsome,1
48613,Reel,1
48614,shoved,10
48615,sloshed,1
48616,Broke,2
48617,Möbius,3
48618,Heard,2
48619,Bowie,2
48620,Lewisian,2
48621,smelled,4
48622,accordion,1
48623,stroll,1
48624,battlements,2
48625,spliff,1
48626,McSpadden,4
48627,comin,1
48628,mouthings,1
48629,tip-toes,1
48630,paper-plane,1
48631,nudged,5
48632,Prent,1
48633,Solar,1
48634,Urvill,15
48635,whooped,3
48636,obsidian,1
48637,combat-casual,1
48638,kempt,1
48639,Carling,1
48640,foamed,8
48641,Lanson,1
48642,Hawaii,1
48643,loo,17
48644,over-seeing,1
48645,chilli,3
48646,Mthth,1
48647,MnThpndn,1
48648,Din,2
48649,hauled,3
48650,half-frozen,1
48651,clad,3
48652,sinuously,1
48653,Fergus,159
48654,cross-legged,1
48655,pirouetted,1
48656,floodlight,1
48657,wobbled,4
48658,seductively,1
48659,fluidly,1
48660,caress,1
48661,nape,2
48662,flood-light,1
48663,chopping,4
48664,new-year,1
48665,esplanade,1
48666,quayside,2
48667,swans,1
48668,highland,2
48669,jigs,2
48670,Packet,7
48671,happy-new-year,1
48672,stomped,1
48673,tide-line,1
48674,driftwood,1
48675,short-haired,1
48676,Uist,2
48677,insult,6
48678,Hebrides,4
48679,moody,2
48680,dune,1
48681,holidaying,2
48682,boomed,1
48683,machair,3
48684,laze,1
48685,wander,11
48686,Larks,1
48687,warbled,1
48688,puffy,1
48689,short-sleeved,2
48690,cheesecloth,1
48691,grey-black,1
48692,shrieking,1
48693,open mouthed,1
48694,sandshoe,3
48695,crouching,2
48696,Stepped,2
48697,Lifeboat,3
48698,lapel,2
48699,gritted,1
48700,quivering,2
48701,grimaced,1
48702,Ouch,4
48703,sock,7
48704,nuthin,1
48705,carry-coal-bag,1
48706,Hop,1
48707,bean-pole,1
48708,laddie,2
48709,skelf,2
48710,Kind of,1
48711,wrists,2
48712,twirling,2
48713,wand,4
48714,Uh-huh,2
48715,dragons,12
48716,hunch,1
48717,air-hole,2
48718,Waa,1
48719,Alien,3
48720,fattening,5
48721,paranoid,6
48722,feather-light,1
48723,double-check,1
48724,communists,2
48725,homosexuals,1
48726,night-light,2
48727,bedclothes,2
48728,thrashing,2
48729,squirming,1
48730,ruffled,2
48731,Darth,1
48732,Vader,1
48733,westerns,1
48734,hanky,3
48735,ballroom,3
48736,miserable-looking,1
48737,Sheets,1
48738,steamers,1
48739,windswept,1
48740,rough-mirror,1
48741,wipers,3
48742,flapping,2
48743,window-sill,2
48744,pocketing,1
48745,Ballroom,1
48746,Beatles,4
48747,Stones,3
48748,Heeee-yooch,1
48749,startlingly,1
48750,jig,2
48751,whirling,1
48752,ever-changing,1
48753,clasping,1
48754,kilts,1
48755,horse-resembling,1
48756,bridal,1
48757,uncertainly,1
48758,handbag,7
48759,thoughtless,1
48760,thoughtlessness,1
48761,kick-the-can,1
48762,sneak,3
48763,loch,6
48764,gloried,1
48765,cunningness,1
48766,slunk,1
48767,Cocktail,1
48768,ruddy-faced,1
48769,panting,1
48770,sleeves,7
48771,jerked,6
48772,white-washed,1
48773,Stencilled,1
48774,Floor,2
48775,U-shaped,1
48776,skylights,1
48777,155,2
48778,Calibre,1
48779,key-hole,5
48780,clichéd,1
48781,tippable,1
48782,peach-coloured,1
48783,smooth-looking,1
48784,Lachy,31
48785,Watt,16
48786,Lochgilphead,4
48787,smarted,1
48788,chuckling,1
48789,giggles,2
48790,excitedly,3
48791,leant,2
48792,wafting,2
48793,coils,1
48794,hairdo,1
48795,Whoo,6
48796,reappeared,3
48797,Stupid,6
48798,Ferg,28
48799,lip-stick,2
48800,gulping,1
48801,moaning,5
48802,busied,1
48803,sporran,1
48804,levitate,1
48805,hammering,5
48806,belched,2
48807,Fucking,14
48808,McCaig,2
48809,Folly,2
48810,Oban,2
48811,lib,1
48812,Bolshie,4
48813,floorboards,6
48814,crackled,2
48815,unscrewed,1
48816,hip,6
48817,flask,3
48818,Ta,25
48819,primus,1
48820,plus fours,1
48821,tweed,1
48822,Barbour,1
48823,bothy,2
48824,brogues,1
48825,fawn,2
48826,button-down,1
48827,mountain-hiking,1
48828,M&S,1
48829,waterproofs,1
48830,drifting,4
48831,ponderously,1
48832,recounter,1
48833,notch,3
48834,lumbering,1
48835,self-conscious,1
48836,crowdedness,1
48837,consigned,4
48838,.303,3
48839,Sika,2
48840,motioned,2
48841,keeled,2
48842,parked,15
48843,Roderick,3
48844,Fi,4
48845,shackled,1
48846,Ah-ha,1
48847,feller,3
48848,Croup,1
48849,dingbat,1
48850,huntin',2
48851,shootin',2
48852,fishin',2
48853,undemanding,2
48854,garrulousness,1
48855,moodiness,1
48856,ceaseless,1
48857,trackless,1
48858,Landy,1
48859,collapsible,1
48860,rods,10
48861,dormer,1
48862,bunkbeds,1
48863,Positive,2
48864,Mmm,7
48865,deflower,1
48866,Perthshire,1
48867,rummaged,1
48868,wacky,2
48869,baccy,1
48870,booted,3
48871,hanky-panky,1
48872,roach,3
48873,toke,1
48874,plasterboard,5
48875,crackling,1
48876,scrabbling,2
48877,roof-space,1
48878,starless,1
48879,clawy,1
48880,shotgun,12
48881,Ssh,3
48882,hissed,2
48883,peeved,2
48884,hunkered,1
48885,Bang,15
48886,clattered,1
48887,Awful,1
48888,Ears,1
48889,side-by-side,1
48890,Blam,1
48891,pattered,1
48892,readied,1
48893,over-balance,1
48894,Aah,12
48895,arced,1
48896,helplessly,1
48897,stank,1
48898,gunless,1
48899,crunching,1
48900,befuddled,1
48901,lungfuls,1
48902,racking,31
48903,trickling,2
48904,ruddy,9
48905,bloated,3
48906,jaw-line,1
48907,dizzy,5
48908,smoke-filled,1
48909,trippy,1
48910,moonless,1
48911,fire-arms,1
48912,cuddled,1
48913,shaming,1
48914,barfing,1
48915,guttering,2
48916,cannabis,1
48917,Sidelined,1
48918,flatten,2
48919,grubby-looking,1
48920,weedy,4
48921,Springburn,1
48922,padding,4
48923,down-trodden,1
48924,squatted,1
48925,urinating,1
48926,arse,13
48927,loped,1
48928,forgone,1
48929,Festive,1
48930,pork,10
48931,scratchings,1
48932,bridies,1
48933,pasties,3
48934,patties,1
48935,gentulmun,1
48936,Glaswegian,2
48937,loudspeakers,2
48938,wind-shaken,1
48939,rain-spattered,1
48940,leach,2
48941,drenched,1
48942,tramped-on,1
48943,pissed-on,1
48944,shat-on,1
48945,scrubby,2
48946,indistinguishable,2
48947,out-living,2
48948,irrelevance,1
48949,asteroid,1
48950,gravitational,1
48951,gavotte,1
48952,Unwitnessed,1
48953,blink,4
48954,search-light,1
48955,pummelled,1
48956,flattening,1
48957,reverie,1
48958,occupants,13
48959,groaning,2
48960,trundled,1
48961,squalls,1
48962,Maryhill,1
48963,looping,1
48964,Anniesland,1
48965,paralleled,1
48966,Jordanhill,1
48967,fronted,2
48968,hug,6
48969,comprehensively,1
48970,longish,1
48971,Ne'erday,1
48972,partyette,1
48973,quietish,1
48974,penitents,1
48975,goosing,1
48976,sardinely-intimate,1
48977,huddles,2
48978,baboon-like,1
48979,snorts,1
48980,neuron-friendly,1
48981,McHoans,4
48982,smattering,2
48983,nibbled,2
48984,buffet-bits,1
48985,Charades,2
48986,Communicable,1
48987,Diseases,1
48988,Well-Known,1
48989,Poisons,1
48990,Murderers,1
48991,Disasters,1
48992,Gynaecological,1
48993,Shock,2
48994,Syndrome,3
48995,pander,1
48996,nit-picking,1
48997,congenitally,2
48998,odd-jeaned,1
48999,risking,1
49000,waists,1
49001,jeans-buying,1
49002,perpetually,1
49003,MacGowan,1
49004,skinning,2
49005,Ritchie,3
49006,unpicking,2
49007,Ritchies,1
49008,badly-fitting,1
49009,denim,4
49010,rivets,12
49011,Claude,2
49012,Levi-Strauss,1
49013,drunk-person,1
49014,auto-pilot,1
49015,left-overs,1
49016,Paracetamol,1
49017,conked,1
49018,log-sawing-like,1
49019,laced,1
49020,Docs,3
49021,hill-cupped,1
49022,lochans,1
49023,glinting,2
49024,azure,1
49025,spillway,5
49026,Aline,10
49027,gully,1
49028,lipped,2
49029,over-flowed,1
49030,hydro-chain-reaction,1
49031,Chaotic,1
49032,bleary-eyed,1
49033,lion-coloured,1
49034,brassy,2
49035,Franco-Vietnamese,1
49036,multitudinous,1
49037,provenance,1
49038,lanky,1
49039,Noor,1
49040,blacker-haired,1
49041,ça,1
49042,skoosh,1
49043,Irn-Bru,1
49044,teeth-achingly,1
49045,stream-water,1
49046,mouthfuls,3
49047,glumly,1
49048,stair-case,1
49049,lumber,1
49050,wittier,1
49051,clingfilm,1
49052,indecent,1
49053,Off-white,1
49054,hots,1
49055,cludgie,1
49056,fetish,1
49057,coprophagy,1
49058,Unpleasanter,1
49059,Merde,1
49060,dubiously,1
49061,auditioning,1
49062,sing-song,2
49063,fishes,2
49064,winked,1
49065,tapped,5
49066,conspiratorially,1
49067,polystyrene,2
49068,Fuck,13
49069,gals,1
49070,Bye-bye,5
49071,drive-way,1
49072,CRII,1
49073,yawning,7
49074,angora,1
49075,chunky,4
49076,unamused,1
49077,laddy,1
49078,valve,7
49079,Oh-oh,1
49080,Disaster,1
49081,Requires,1
49082,offends,2
49083,throttle,3
49084,slag,8
49085,KYAG,1
49086,off-colour,1
49087,Lapland,1
49088,earth-moving,1
49089,Foxtrot,2
49090,Leeches,1
49091,melodramatic,3
49092,Sarcasm,1
49093,forte,1
49094,cleverness,2
49095,Wish,9
49096,Ardnamurchan,1
49097,chez,1
49098,contrition,1
49099,dosh,5
49100,hugs,1
49101,croaked,1
49102,fitful,1
49103,viaduct,1
49104,Succothmore,1
49105,much-Tippexed,1
49106,foolscap,1
49107,cheerier,1
49108,sorrow-saying,1
49109,flannel,1
49110,feign,1
49111,Gav-filled,1
49112,eco-smugness,1
49113,folders,1
49114,staff-room,1
49115,siding,2
49116,wedged,3
49117,irreplaceable,1
49118,Noooo,1
49119,Waking,1
49120,mess-room,1
49121,rousing,2
49122,unsound,1
49123,au,13
49124,unrepentant,1
49125,arf,2
49126,lasagne,8
49127,hateful,1
49128,concocted,1
49129,sub-conscious,1
49130,nightmare-paradigms,1
49131,banally,1
49132,tattered,2
49133,quorum,1
49134,egoresuscitation,1
49135,micro-second,2
49136,lacerated,1
49137,self-respect,1
49138,humiliatingly,1
49139,[mdash ]'Were,1
49140,road-signs,1
49141,untidiness,1
49142,cradles,1
49143,maggots,1
49144,Awwrr,1
49145,Yuk,4
49146,snowball-throwing,1
49147,Leaves,3
49148,glued,3
49149,mums,2
49150,dads,1
49151,Lachlan,11
49152,punched,4
49153,Brooms,1
49154,Old fashioned,1
49155,flappy,1
49156,Ah-hah,1
49157,broom-making,1
49158,light-out,1
49159,Night-night,4
49160,bugs,3
49161,noddles,1
49162,bed-time,1
49163,Aww,2
49164,foreheads,1
49165,bending,8
49166,glove-box,2
49167,bairns,1
49168,maggoty,1
49169,rotated,1
49170,nagging,2
49171,revellers,1
49172,wicker,3
49173,Settled,1
49174,Supposed,8
49175,shindig,1
49176,scattering,3
49177,factory-owning,1
49178,Oz,3
49179,aye-aye,1
49180,Aye-aye,1
49181,Ayeaye,1
49182,sniggered,1
49183,soda,4
49184,gulp,1
49185,sourly,2
49186,Shona,2
49187,refilled,3
49188,asshole,1
49189,Japs,2
49190,bicycles,2
49191,spout,3
49192,Nullarbor,1
49193,Aussies,1
49194,Commies,1
49195,clinked,2
49196,snatcher,1
49197,tumbler,1
49198,watery-eyed,1
49199,jowled,1
49200,Chiang-Kai-Shek,1
49201,leftwards,1
49202,bless,13
49203,Jackanory,1
49204,Shuffling,1
49205,paperweights,1
49206,Specialist,3
49207,shop-stewards,1
49208,chucking,2
49209,RSA,1
49210,bottle-loaded,1
49211,charades,3
49212,Henriss,2
49213,queer,3
49214,y',1
49215,ss,1
49216,disgussin,2
49217,absluley,1
49218,poofter,3
49219,coon,1
49220,goin,2
49221,rumbled,2
49222,snoring,4
49223,coal-dark,1
49224,baby-sitter,2
49225,Leanne,2
49226,beaten-up,1
49227,light-framed,1
49228,wiry,2
49229,well-used,1
49230,distressed,4
49231,unfashionably,1
49232,glittered,1
49233,rouse,1
49234,Hoi,1
49235,Aarg,1
49236,bassard,1
49237,jowls,1
49238,jellies,2
49239,Hhnn,1
49240,walloped,3
49241,gurgling,1
49242,footwell,1
49243,blonde-haired,1
49244,zipping,1
49245,Bye,60
49246,darkly-stained,1
49247,Shooch,1
49248,shakily,1
49249,bugger,28
49250,malt,1
49251,takin,1
49252,perdition,1
49253,flexed,1
49254,dog-house,2
49255,Reaching,1
49256,fuzzy,1
49257,white-painted,1
49258,comforting,3
49259,mustiness,1
49260,Stairs,1
49261,wood-panelled,1
49262,topmost,1
49263,chestful,1
49264,dozy,1
49265,stupor,1
49266,ravish,1
49267,coughed,1
49268,pounding,4
49269,Damn,2
49270,splayed,2
49271,observatory,5
49272,installing,2
49273,self-opinionated,1
49274,joists,5
49275,wriggled,2
49276,battens,1
49277,joist,7
49278,undressed,5
49279,rafter,3
49280,lath,17
49281,daddy,91
49282,perishers,1
49283,swivelled,2
49284,ghastly,11
49285,prank,1
49286,glows,2
49287,twinges,1
49288,locked-room,1
49289,Voices,1
49290,cupping,1
49291,athletic-looking,1
49292,shanks,1
49293,ramming,2
49294,kneeling,2
49295,globe-buttocked,1
49296,squeal,2
49297,in-rushing,1
49298,subsiding,1
49299,inauspiciously,1
49300,Fates,1
49301,Luck,1
49302,Evolution,1
49303,entangled,5
49304,thorough-going,1
49305,catastrophes,1
49306,rapidity,1
49307,bowel-looseningly,1
49308,sarcasm,2
49309,poppadoms,2
49310,cold-spots,1
49311,evinced,1
49312,braille,1
49313,roundels,1
49314,flatmates,1
49315,brainstorming,1
49316,patently,2
49317,zephyr-grade,1
49318,Mecca,2
49319,Ramadan,1
49320,Naw,2
49321,Yer,1
49322,thermosetting,1
49323,overhang,1
49324,swivelling,2
49325,furrowing,1
49326,rugby-shirt,1
49327,armpit,2
49328,stupendous,2
49329,near-fatal,1
49330,finger-wagging,1
49331,dares,2
49332,flat-dweller,1
49333,embarrass,3
49334,tad,1
49335,tetchily,1
49336,squinted,2
49337,Nowhere,3
49338,safety-catch,1
49339,short-circuiting,1
49340,ledge,4
49341,Depending on,5
49342,chums,3
49343,sill,8
49344,monstrosity,1
49345,Blu-tack,8
49346,Bollinger,1
49347,white-glowing,1
49348,crucible,1
49349,cutting-edge,1
49350,attired,1
49351,tutorial,2
49352,punctuate,1
49353,coupling,3
49354,tenacious,1
49355,core-areas,1
49356,sporadically,1
49357,tortilla,1
49358,corny,1
49359,raucousness,1
49360,window-shaking,1
49361,savour,1
49362,enunciated,2
49363,munching,3
49364,cops,3
49365,fights,7
49366,respecting,1
49367,Sheech,1
49368,zany,1
49369,fetchingly,1
49370,disarrayed,1
49371,whiting-out,1
49372,half-twist,1
49373,over-seen,1
49374,Vaguely,1
49375,polyester-and-cotton,1
49376,voyeuristically,1
49377,brownish,4
49378,dinosaur-like,1
49379,Palaeo-biological,1
49380,forebrain,1
49381,post-modernist,1
49382,sub-texts,1
49383,structuralist,1
49384,little-practised,1
49385,cognition,1
49386,hair-pulling,1
49387,awaken,1
49388,radiantly,1
49389,guiltily,2
49390,yawned,1
49391,unconvincingly,1
49392,bonk,1
49393,Uh-uh-uh-uh-uh,2
49394,cretin,2
49395,over-due,1
49396,goodish,1
49397,methodically,1
49398,ascribing,1
49399,Smorgasbord,1
49400,take-what-you-want,1
49401,ethic,1
49402,endeared,1
49403,discourse,3
49404,Swedes,1
49405,irrefutable,1
49406,Pity,6
49407,Norwegians,1
49408,coital,1
49409,creaked,1
49410,vox humana,1
49411,niggling,1
49412,side-track,1
49413,kleptomaniac,1
49414,curmudgeon,1
49415,Isadora,1
49416,wretch,1
49417,Paisley-pattern,1
49418,Mackintosh,1
49419,Roomes,1
49420,straightly,1
49421,fitments,4
49422,graph-paper,1
49423,ladder-back,1
49424,hoisting,1
49425,crunchingly,1
49426,loaf-sized,1
49427,meringue,7
49428,dollop,1
49429,pinky,2
49430,napkin,3
49431,topography,1
49432,slats,2
49433,uprights,2
49434,hand-mouth,1
49435,matrons,3
49436,scandalous,1
49437,morsel,1
49438,black-balled,1
49439,ritualised,1
49440,sodality,1
49441,nostalgic,2
49442,palpable,2
49443,ice-cave,1
49444,half-octave,1
49445,waggling,1
49446,Sellotape,2
49447,cappuccino,1
49448,impregnating,1
49449,insincerely,2
49450,Burberried,1
49451,biddies,1
49452,smirking,2
49453,aisle,14
49454,sniffily,1
49455,delved,1
49456,twinkling,1
49457,snort,1
49458,dabbed,2
49459,eclair,2
49460,Arisen,1
49461,starveling,1
49462,decorum,1
49463,infrared,2
49464,electromagnetic,2
49465,inelastic,1
49466,off-licence,2
49467,day-time,1
49468,sneer,4
49469,snide,1
49470,quizzes,3
49471,fora,1
49472,scummy,2
49473,adumbrate,1
49474,itinerant,2
49475,chez nous,1
49476,pathetically,1
49477,Rejected,3
49478,crunch,5
49479,fumed,1
49480,bittered,1
49481,Finals,1
49482,finger-tip,1
49483,heartless,1
49484,ladder-backed,1
49485,wretchedly,1
49486,coward,1
49487,liar,3
49488,twenty-pound,1
49489,Grandma,5
49490,biker,2
49491,dumb-struck,1
49492,fiddle-player,1
49493,Sauchiehall,1
49494,martyred,1
49495,nauseous,1
49496,sibling-thwarted,1
49497,starch,1
49498,unprocessed,1
49499,slopping,1
49500,gagging,1
49501,tramp,1
49502,greasy-looking,1
49503,buttonless,1
49504,gestured,1
49505,basturt,1
49506,somethin,1
49507,headscarf,1
49508,sonny,3
49509,grimacing,1
49510,Missus,1
49511,uncomprehendingly,1
49512,yoursel,1
49513,candle-light,1
49514,naan,3
49515,blighter,3
49516,portions,3
49517,kalija,1
49518,pakora,1
49519,garlic,9
49520,pasanda,1
49521,pulao,1
49522,sag,1
49523,panir,1
49524,sherries,1
49525,Nuit,1
49526,regulation,8
49527,paramilitary-style,1
49528,anti,4
49529,T-shirt,12
49530,slackly,1
49531,candlelight,1
49532,Anarkali,1
49533,despising,1
49534,unselfish,1
49535,self-destruction,1
49536,power-dive,1
49537,cradled,2
49538,Catch-22,2
49539,Buck,3
49540,Nately,3
49541,Yossarian,2
49542,Milo,2
49543,whorehouse,1
49544,half-track,1
49545,such-and-such,1
49546,inquisitiveness,1
49547,trepidation,1
49548,fore-arms,1
49549,doin,1
49550,dick-head,2
49551,tryin,1
49552,stupit,1
49553,dumpy,2
49554,fornication,1
49555,melodramatically,1
49556,oval,6
49557,caste-mark,1
49558,out-stare,1
49559,jerking,1
49560,muggy,1
49561,flinging,1
49562,strides,3
49563,Spud-U-Like,1
49564,re-sits,1
49565,smart-ass,1
49566,undignified,1
49567,yelp,2
49568,vultures,2
49569,cackled,1
49570,Able,3
49571,Palin,1
49572,shin,4
49573,scuff,1
49574,Grouse,1
49575,skipped,2
49576,unnoticeable,1
49577,spirited,1
49578,filthily,1
49579,toothy,1
49580,non-smile,1
49581,strode,1
49582,A74,1
49583,crazed,1
49584,air-locked,1
49585,dissolves,1
49586,muroculous,1
49587,arse-holes,1
49588,arse-hole,1
49589,carnality,1
49590,spermed,1
49591,spare-parts,1
49592,waster,2
49593,bairn,2
49594,stair-well,1
49595,distraught,1
49596,freeway,1
49597,sheepish,1
49598,enveloping,1
