,Synsets,Domain,nrhypos,nrdirhypers,nrpartrels,depthfromtopsynset,glosslength,minwordlength,nroflemmas,polyscore_max,ngrams_last_mean,nrpartrels_normalised,depthfromtopsynset_normalised,glosslength_normalised,vote
491,Synset('tabor.n.01'),music,0,1,0,10,43,5,2,1,-16.73864315,0.0,0.9921355111917723,0.5442197870041673,nb
492,Synset('tambour.n.02'),music,0,1,0,10,6,7,1,2,-16.20675225,0.0,0.9921355111917723,0.0759376446982559,nb
493,Synset('tambourine.n.01'),music,0,1,0,10,74,10,1,1,-14.92221046,0.0,0.9921355111917723,0.9365642846118228,nb
494,Synset('tenor_drum.n.01'),music,0,1,0,10,37,7,2,1,-16.83529623,0.0,0.9921355111917723,0.4682821423059113,nb
495,Synset('tenoroon.n.01'),music,0,1,0,13,65,8,1,1,-22.99965765,0.0,1.2897761645493042,0.8226578175644389,nb
496,Synset('theremin.n.01'),music,0,1,0,9,171,8,1,1,-17.71645395,0.0,0.8929219600725952,2.164222873900293,b
497,Synset('timbrel.n.01'),music,0,1,0,10,79,7,1,1,-16.50817566,0.0,0.9921355111917723,0.9998456551937028,nb
498,Synset('triangle.n.05'),music,0,1,0,9,87,8,1,5,-11.59642432,0.0,0.8929219600725952,1.1010958481247106,b
499,Synset('trigon.n.03'),music,0,1,0,12,44,6,1,3,-18.34569728,0.0,1.190562613430127,0.5568760611205432,nb
500,Synset('trombone.n.01'),music,1,1,0,10,91,8,1,1,-14.86372484,0.0,0.9921355111917723,1.1517209445902146,b
501,Synset('uke.n.01'),music,0,1,0,10,34,3,2,1,-16.50628209,0.0,0.9921355111917723,0.4303133199567834,nb
502,Synset('upright.n.02'),music,1,1,0,10,38,7,2,5,-12.13939001,0.0,0.9921355111917723,0.4809384164222873,nb
503,Synset('vibraphone.n.01'),music,0,1,0,9,134,5,3,2,-16.13602844,0.0,0.8929219600725952,1.6959407315943815,nb
504,Synset('viol.n.01'),music,3,1,0,10,77,4,1,1,-15.01349277,0.0,0.9921355111917723,0.9745331069609507,nb
505,Synset('viola_d'amore.n.01'),music,0,1,0,11,41,13,1,1,-18.72996019,0.0,1.0913490623109496,0.5189072387714153,nb
506,Synset('viola_da_braccio.n.01'),music,0,1,0,11,67,16,1,1,-20.16644433,0.0,1.0913490623109496,0.8479703657971909,nb
507,Synset('viola_da_gamba.n.01'),music,0,1,0,11,89,5,3,2,-16.44677939,0.0,1.0913490623109496,1.1264083963574625,nb
508,Synset('viola.n.03'),music,0,1,0,10,78,5,1,3,-14.54561727,0.0,0.9921355111917723,0.9871893810773268,b
509,Synset('violin.n.01'),music,3,1,2,10,179,6,2,8,-12.62594775,7.809523809523809,0.9921355111917723,2.265473066831301,b
510,Synset('virginal.n.01'),music,0,1,0,11,91,8,2,4,-15.07107143,0.0,1.0913490623109496,1.1517209445902146,nb
511,Synset('vox_angelica.n.01'),music,0,1,0,11,47,12,2,1,-21.06683587,0.0,1.0913490623109496,0.5948448834696712,nb
512,Synset('vox_humana.n.01'),music,0,1,0,12,63,10,1,1,-18.4228645,0.0,1.190562613430127,0.7973452693316869,nb
513,Synset('whistle.n.03'),music,0,1,0,9,74,7,1,11,-12.05697168,0.0,0.8929219600725952,0.9365642846118228,b
514,Synset('wind_instrument.n.01'),music,75,1,2,8,108,4,2,15,-10.28215722,7.809523809523809,0.793708408953418,1.3668776045686062,nb
515,Synset('woodwind.n.01'),music,26,1,2,9,52,4,3,8,-10.94616,7.809523809523809,0.8929219600725952,0.6581262540515511,nb
516,Synset('zill.n.01'),music,0,1,0,10,123,4,1,1,-19.4161387,0.0,0.9921355111917723,1.556721716314246,b
517,Synset('zither.n.01'),music,1,1,0,9,140,6,3,2,-14.70298644,0.0,0.8929219600725952,1.7718783762926378,b
518,Synset('baby_bed.n.01'),furn,4,1,0,8,74,8,2,1,-18.492119948947803,0.0,0.8268625393494228,1.3808847210381736,nb
519,Synset('bedroom_furniture.n.01'),furn,24,1,0,8,39,17,1,1,-17.00164787833055,0.0,0.8268625393494228,0.7277635691957942,nb
